
chapitre-1-nombres-virgules-autres-outils | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=650&idTask=0&sTab=task&iOrder=1 | 01 | Pliage d'une feuille de papier
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=2 | 02 | Nombre à vigule : point et pas virgule !
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=3 | 03 | Faire des divisions
chapitre-1-nombres-virgules-autres-outils | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=650&idTask=0&sTab=task&iOrder=5 | 04 | Conversions de distances
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=6 | 05 | Lecture de décimaux : erreur possible
chapitre-1-nombres-virgules-autres-outils | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=650&idTask=0&sTab=task&iOrder=7 | 06 | Comparatif de prix
chapitre-1-nombres-virgules-autres-outils | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=650&idTask=0&sTab=task&iOrder=8 | 07 | Moyenne des notes
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=9 | 08 | Précision des calculs
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=11 | 09 | La notation scientifique
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=14 | 10 | Charger un module
chapitre-1-nombres-virgules-autres-outils | cours | http://www.france-ioi.org/algo/course.php?idChapter=650&idCourse=0&iOrder=15 | 11 | Faire des arrondis (inférieur et supérieur)
chapitre-1-nombres-virgules-autres-outils | obligatoire | http://www.france-ioi.org/algo/task.php?idChapter=650&idTask=0&sTab=task&iOrder=16 | 12 | Augmentation de la population
